Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
CPU,BX80673I97980X,Intel,Core i9-7980XE,145,80.4,3659,https://cpu.userbenchmark.com/SpeedTest/352013/IntelR-CoreTM-i9-7980XE-CPU---260GHz,1851
CPU,YD299XAZAFWOF,AMD,Ryzen TR 2990WX,210,75.9,2259,https://cpu.userbenchmark.com/SpeedTest/560423/AMD-Ryzen-Threadripper-2990WX-32-Core-Processor,1846
CPU,100-100000011WOF,AMD,Ryzen TR 3970X,112,83.7,3422,https://cpu.userbenchmark.com/SpeedTest/970030/AMD-Ryzen-Threadripper-3970X-32-Core-Processor,1634
CPU,BX80673I97960X,Intel,Core i9-7960X,108,84.1,1757,https://cpu.userbenchmark.com/SpeedTest/357952/IntelR-CoreTM-i9-7960X-CPU---280GHz,1592
CPU,BX80673I99980X,Intel,Core i9-9980XE,127,82.6,1525,https://cpu.userbenchmark.com/SpeedTest/652504/IntelR-CoreTM-i9-9980XE-CPU---300GHz,1406
CPU,100-100000010WOF,AMD,Ryzen TR 3960X,104,84.2,3879,https://cpu.userbenchmark.com/SpeedTest/969111/AMD-Ryzen-Threadripper-3960X-24-Core-Processor,1161
CPU,YD297XAZAFWOF,AMD,Ryzen TR 2970WX,174,78.5,863,https://cpu.userbenchmark.com/SpeedTest/626249/AMD-Ryzen-Threadripper-2970WX-24-Core-Processor,1071
CPU,,Intel,Xeon E3-1275 V2,240,74.5,309,https://cpu.userbenchmark.com/SpeedTest/4507/IntelR-XeonR-CPU-E3-1275-V2---350GHz,1028
CPU,BX80633I74960X,Intel,Core i7-4960X,142,80.6,3720,https://cpu.userbenchmark.com/Intel-Core-i7-4960X/Rating/1977,1023
CPU,,Intel,Core i7-3970X,160,79.4,2443,https://cpu.userbenchmark.com/SpeedTest/6794/IntelR-CoreTM-i7-3970X-CPU---350GHz,1000
CPU,BX8069510980XE,Intel,Core i9-10980XE,106,84.1,1798,https://cpu.userbenchmark.com/SpeedTest/935899/IntelR-CoreTM-i9-10980XE-CPU---300GHz,946
CPU,BX80673I99960X,Intel,Core i9-9960X,90,85.6,622,https://cpu.userbenchmark.com/SpeedTest/653060/IntelR-CoreTM-i9-9960X-CPU---310GHz,906
CPU,BX80673I99900X,Intel,Core i9-9900X,110,83.8,2225,https://cpu.userbenchmark.com/SpeedTest/639130/IntelR-CoreTM-i9-9900X-CPU---350GHz,882
CPU,,Intel,Xeon W3690,184,77.8,3557,https://cpu.userbenchmark.com/SpeedTest/9677/IntelR-XeonR-CPU-----------W3690----347GHz,851
CPU,BX80648I75960X,Intel,Core i7-5960X,123,82.9,12524,https://cpu.userbenchmark.com/Intel-Core-i7-5960X/Rating/2580,850
CPU,BX80671I76850K,Intel,Core i7-6850K,97,85,18780,https://cpu.userbenchmark.com/Intel-Core-i7-6850K/Rating/3606,840
CPU,100-100000059WOF,AMD,Ryzen 9 5950X,17,100,17043,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086,814
CPU,BX80673I97900X,Intel,Core i9-7900X,124,82.9,15574,https://cpu.userbenchmark.com/Intel-Core-i9-7900X/Rating/3936,806
