Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
GPU,,Nvidia,Quadro RTX 8000,6,177,220,https://gpu.userbenchmark.com/SpeedTest/762332/NVIDIA-Quadro-RTX-8000,8120
GPU,,Nvidia,Quadro GP100,28,107,104,https://gpu.userbenchmark.com/SpeedTest/279788/NVIDIA-Quadro-GP100,8050
GPU,,Nvidia,Quadro RTX A6000,2,207,1,https://gpu.userbenchmark.com/SpeedTest/1300600/NVIDIA-Quadro-RTX-A6000,6500
GPU,,Nvidia,Quadro RTX 6000,8,173,581,https://gpu.userbenchmark.com/SpeedTest/736712/NVIDIA-Quadro-RTX-6000,4696
GPU,,Nvidia,Quadro P6000,19,130,571,https://gpu.userbenchmark.com/SpeedTest/187394/NVIDIA-Quadro-P6000,4300
GPU,,Nvidia,Titan V,10,161,736,https://gpu.userbenchmark.com/SpeedTest/395529/NVIDIA-TITAN-V,3100
GPU,,Nvidia,RTX 3090,1,231,47180,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081,2699
GPU,,Nvidia,Quadro P5000,42,91.1,5941,https://gpu.userbenchmark.com/SpeedTest/197331/NVIDIA-Quadro-P5000,2343
GPU,,Nvidia,Quadro RTX 5000,15,135,1099,https://gpu.userbenchmark.com/SpeedTest/712800/NVIDIA-Quadro-RTX-5000,2176
GPU,,Nvidia,Titan RTX,5,189,1627,https://gpu.userbenchmark.com/SpeedTest/664199/NVIDIA-TITAN-RTX,2150
GPU,900-1G150-2500-000,Nvidia, Titan RTX 24GB,5,189,1627,https://gpu.userbenchmark.com/SpeedTest/664199/NVIDIA-TITAN-RTX,2150
GPU,,AMD,RX 6900-XT,4,190,7831,https://gpu.userbenchmark.com/AMD-RX-6900-XT/Rating/4091,1844
GPU,,Nvidia,RTX 3080,3,205,130095,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080,1359
GPU,,Nvidia,Titan Xp,12,144,5420,https://gpu.userbenchmark.com/SpeedTest/265423/NVIDIA-TITAN-Xp,1349
GPU,,Nvidia,GTX Titan X,56,77.1,11211,https://gpu.userbenchmark.com/Nvidia-GTX-Titan-X/Rating/3282,1261
GPU,12G-P4-2992-KR,EVGA, GTX TITAN X 12GB SC,56,77.1,11211,https://gpu.userbenchmark.com/Nvidia-GTX-Titan-X/Rating/3282,1261
