Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
HDD,WD101KRYZ,WD,Gold 10TB (2016),2,107,867,https://hdd.userbenchmark.com/SpeedTest/171115/WDC-WD101KRYZ-01JPDB0,690
HDD,WD8002FRYZ,WD,Gold 8TB (128MB Cache 2016),9,95.1,218,https://hdd.userbenchmark.com/SpeedTest/226349/WDC-WD8002FRYZ-01FF2B0,640
HDD,,WD,WD8000AARS-00Y5B1 800GB,437,43.7,954,https://hdd.userbenchmark.com/SpeedTest/3653/WDC-WD8000AARS-00Y5B1,490
HDD,WD6001FZWX,WD,Black 6TB (2015),10,95,3498,https://hdd.userbenchmark.com/WD-Black-6TB-2015/Rating/3519,470
HDD,,Hitachi,HDT721075SLA360 750GB,327,49,347,https://hdd.userbenchmark.com/SpeedTest/3764/Hitachi-HDT721075SLA360,430
HDD,WD121KRYZ,WD,Gold 12TB (2017),1,111,653,https://hdd.userbenchmark.com/SpeedTest/391336/WDC-WD121KRYZ-01,429
HDD,WD5001FZWX,WD,Black 5TB (2015),30,89.4,5557,https://hdd.userbenchmark.com/WD-Black-5TB-2015/Rating/3907,429
HDD,WD6002FFWX,WD,Red Pro 6TB (2015),4,99.5,817,https://hdd.userbenchmark.com/SpeedTest/139230/WDC-WD6002FFWX-68TZ4N0,428
HDD,,Hitachi,HDT721010SLA360 1TB,344,47.9,27184,https://hdd.userbenchmark.com/SpeedTest/1320/Hitachi-HDT721010SLA360,427
HDD,ST10000VX0004,Seagate,SkyHawk 10TB (2016),155,66.8,60,https://hdd.userbenchmark.com/SpeedTest/192288/ST10000VX0004-1ZE101,425
HDD,ST10000VN0004,Seagate,IronWolf 10TB (2016),111,74.2,168,https://hdd.userbenchmark.com/SpeedTest/161315/ST10000VN0004-1ZD101,407
HDD,WD4001FFSX,WD,Red Pro 4TB (2014),59,84,502,https://hdd.userbenchmark.com/WD-Red-Pro-4TB-2014/Rating/2664,399
HDD,WD8003FRYZ,WD,Gold 8TB (256MB Cache 2017),5,99.5,561,https://hdd.userbenchmark.com/SpeedTest/388081/WDC-WD8003FRYZ-01JPDB1,395
HDD,WD3001FFSX,WD,Red Pro 3TB (2014),47,86.1,456,https://hdd.userbenchmark.com/SpeedTest/27132/WDC-WD3001FFSX-68JNUN0,390
HDD,WD50EFRX,WD,Red 5TB (2014),105,75.8,857,https://hdd.userbenchmark.com/WD-Red-5TB-2014/Rating/3524,390
HDD,WD6002FRYZ,WD,Gold 6TB (2016) ,3,102,1518,https://hdd.userbenchmark.com/SpeedTest/167511/WDC-WD6002FRYZ-01WD5,389
HDD,WD100EFAX,WD,Red 10TB (2017),21,91.5,1411,https://hdd.userbenchmark.com/SpeedTest/324807/WDC-WD100EFAX-68LHPN0,389
HDD,WD80PURZ,WD,Purple Surveillance 8TB (2017),75,81.3,201,https://hdd.userbenchmark.com/SpeedTest/382445/WDC-WD80PURZ-85YNPY0,382
