Manufacturer,Model,Chipset,Socket,Memory,Slots,Price
Asus,X99-E WSUSB WORKSTATION MOTHERBOARD,Intel,2011,DDR4,8,983
Asus,P9X79-E WS,Intel,2011,DDR3,8,967
Asus,Z10PE-D8 WS,Intel,2011,DDR4,8,600
Asus,Z9PE-D8 WS,Intel,2011,DDR3,8,529
MSI,X99A GAMING 9 ACK,Intel,2011,DDR4,8,518
MSI,X99A GAMING 9 ACK,Intel,2011,DDR4,8,518
Asus,B150 PRO GAMING D3,Intel,1151,DDR3,4,464
Asus,Z97-WS,Intel,1150,DDR3,4,442
MSI,Z170A GAMING M9 ACK,Intel,1151,DDR4,4,433
Asus,RampageIV Formula BF3,Intel,2011,DDR3,4,418
Asus,Crosshair IV Extreme,AMD,AM3,DDR3,4,411
MSI,X99A XPOWER GAMING TITANIUM,Intel,2011,DDR4,8,401
Asus,Maximus V ExtrM,Intel,1155,DDR3,4,393
Asus,ROG Strix X99 Gaming,Intel,2011,DDR4,8,389
Asus,P8Z77 WS,Intel,1155,DDR3,4,387
Asus,Maximus VII Gene,Intel,1150,DDR3,4,366
Asus,X79-DELUXE,Intel,2011,DDR3,8,354
Asus,Rampage IV Black,Intel,2011,DDR3,8,344
Asus,X99-E WS,Intel,2011,DDR4,8,330
MSI,X99S XPOWER AC,Intel,2011,DDR4,8,322
Asus,MAXIMUS VIII EA,Intel,1151,DDR4,4,321
MSI,M2-A85XA-G65,AMD,FM2,DDR3,4,318
Asus,Sabertooth X99,Intel,2011,DDR4,8,314
Asus,Maximus V Form TFX,Intel,1155,DDR3,4,312
Asus,Rampage V Extreme U3K1,Intel,2011,DDR4,8,312
Asus,Sabertooth X79,Intel,2011,DDR3,8,299
Asus,X99-DELUXE,Intel,2011,DDR4,8,299
Asus,Z170 PRO GAMING,Intel,1151,DDR4,4,296
Asus,P8Z77-V PRO,Intel,1155,DDR3,4,294
Asus,Z97M-PLUS,Intel,1150,DDR3,4,293
Asus,RampageIV Formula,Intel,2011,DDR3,4,289
MSI,X99A SLI PLUS,Intel,2011,DDR4,8,288
MSI,X99A GODLIKE Gaming,Intel,2011,DDR4,8,285
MSI,X99A GODLIKE Gaming,Intel,2011,DDR4,8,285
MSI,X99S GAMING 9 AC,Intel,2011,DDR4,8,285
Asus,Sabertooth Z97 MS,Intel,1150,DDR3,4,284
MSI,BH270 Tomahawk Artic,Intel,1151,DDR4,4,279
Asus,P9X79 DELUXE,Intel,2011,DDR3,8,271
Asus,Z170I Pro Gaming,Intel,1151,DDR4,2,269
MSI,H97 PC Mate,Intel,1150,DDR3,4,259
MSI,Z170A XPOWER GAMING TE,Intel,1151,DDR4,4,255
MSI,Z170A XPOWER GAMING TITANIUM EDITION,Intel,1151,DDR4,4,255
Asus,X99-A II,Intel,2011,DDR4,8,252
Asus,X99-A,Intel,2011,DDR4,8,252
Asus,Maximus IX Code,Intel,1151,DDR4,4,251
Asus,Maximus V GENE,Intel,1155,DDR3,4,250
Asus,X99-PRO,Intel,2011,DDR4,8,250
Asus,Maximus VII Ranger,Intel,1150,DDR3,4,249
Asus,H170 Pro,Intel,1151,DDR4,4,248
MSI,Z170A GAMING M5,Intel,1151,DDR4,4,243
MSI,Z170A GAMING M5,Intel,1151,DDR4,4,243
MSI,99 Gaming Pro Carbon,Intel,2011,DDR4,8,242
MSI,99A GAMING 7,Intel,2011,DDR4,8,242
Asus,Prime B350-PLUS,AMD,AM4,DDR4,4,241
MSI,X99A SLI Krait Edition,Intel,2011,DDR4,8,241
