Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
SSD,MZ-7KE2T0BW,Samsung,SSD 850 PRO 2TB,207,109,1853,https://ssd.userbenchmark.com/SpeedTest/38860/Samsung-SSD-850-PRO-2TB,976
SSD,MZ-75E4T0B,Samsung,SSD 850 EVO 4TB,198,112,608,https://ssd.userbenchmark.com/SpeedTest/169156/Samsung-SSD-850-EVO-4TB,926
SSD,CSSD-F240GBGT-BK,Corsair,Force GT 240GB,486,79.2,3020,https://ssd.userbenchmark.com/SpeedTest/1132/Corsair-Force-GT,890
SSD,SKC400S37/1T,Kingston,SSDNow KC400 1TB,343,88.2,584,https://ssd.userbenchmark.com/SpeedTest/127752/KINGSTON-SKC400S371T,846
SSD,RVD350-FHPX28-480G,OCZ,REVODrive 350 PCIe 480GB,153,142,488,https://ssd.userbenchmark.com/SpeedTest/13514/OCZ-REVODRIVE350,778
SSD,TRN150-25SAT3-480G,OCZ,Trion 150 480GB,406,84.3,11455,https://ssd.userbenchmark.com/OCZ-Trion-150-480GB/Rating/3620,753
SSD,SB-ROCKET-4TB,Sabrent,Rocket 4TB,52,245,259,https://ssd.userbenchmark.com/SpeedTest/953820/Sabrent,750
SSD,SSDPE2MD400G401,Intel,DC P3700 Series 400GB,81,208,56,https://ssd.userbenchmark.com/SpeedTest/16595/NVMe-INTEL-SSDPEDMD40,744
SSD,MZ-77Q8T0BW,Samsung,SSD 870 QVO 8TB,218,107,215,https://ssd.userbenchmark.com/SpeedTest/1280660/Samsung-SSD-870-QVO-8TB,724
SSD,TS256GSSD320,Transcend,SSD320 256GB,577,73.7,100,https://ssd.userbenchmark.com/SpeedTest/3357/TS256GSSD320,710
SSD,MZ-76P4T0B,Samsung,SSD 860 PRO 4TB,202,111,356,https://ssd.userbenchmark.com/SpeedTest/552119/Samsung-SSD-860-PRO-4TB,700
SSD,CSSD-N800GBNX500,Corsair,Neutron NX500 800GB,96,191,96,https://ssd.userbenchmark.com/SpeedTest/369784/Neutron-NX500,679
SSD,CT512M550SSD1,Crucial,M550 512GB,296,91.5,4315,https://ssd.userbenchmark.com/SpeedTest/7172/Crucial-CT512M550SSD1,665
SSD,MZ-V6P2T0BW,Samsung,SSD 960 PRO 2TB,35,276,3116,https://ssd.userbenchmark.com/SpeedTest/215493/Samsung-SSD-960-PRO-2TB,647
SSD,RVD3X2-FHPX4-480G,OCZ,REVODrive 3 X2 PCIe 480GB,300,91.2,231,https://ssd.userbenchmark.com/SpeedTest/8804/OCZ-REVODRIVE3-X2,622
SSD,CSSD-N960GBXT,Corsair,Neutron XT 960GB,282,92.9,173,https://ssd.userbenchmark.com/SpeedTest/23267/Corsair-Neutron-XT-SSD,614
SSD,MZ-V7E2T0BW,Samsung,SSD 970 EVO 2TB,32,280,7910,https://ssd.userbenchmark.com/SpeedTest/501128/Samsung-SSD-970-EVO-2TB,599
SSD,MZ-V6E1T0BW,Samsung,SSD 960 EVO 1TB,55,244,33072,https://ssd.userbenchmark.com/SpeedTest/211052/Samsung-SSD-960-EVO-1TB,591
SSD,PI960GS25SSDR,Patriot,Ignite 960GB,366,86.4,159,https://ssd.userbenchmark.com/Patriot-Ignite-960GB/Rating/3575,580
SSD,SSDPED1D480GASX,Intel,900P Optane 480GB,6,421,1464,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA,569
SSD,SSDPE21D480GASX,Intel,900P Optane 480GB,6,421,1464,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA,569
SSD,RVD3X2-FHPX4-240G,OCZ,REVODrive 3 X2 PCIe 240GB,542,75.6,960,https://ssd.userbenchmark.com/SpeedTest/6546/OCZ-REVODRIVE3-X2,557
SSD,ST480HM000,Seagate,600 480GB,387,85.2,1075,https://ssd.userbenchmark.com/SpeedTest/2966/ST480HM000-1G5162,556
SSD,SSDSC2BB800G4,Intel,S3500 Series 800GB,349,87.4,261,https://ssd.userbenchmark.com/SpeedTest/30895/INTEL-SSDSC2BB800G4,540
SSD,GP-ASM2NE6200TTTD,Gigabyte,Aorus 2TB,12,356,2834,https://ssd.userbenchmark.com/SpeedTest/844144/GIGABYTE-GP-ASM2NE6200TTTD,534
SSD,SD8SB8U-1T00-1122,SanDisk,X400 1TB,405,84.3,1781,https://ssd.userbenchmark.com/SpeedTest/66487/SanDisk-SD8SB8U1T001122,531
SSD,MZ-V6P1T0BW,Samsung,SSD 960 PRO 1TB,40,272,15448,https://ssd.userbenchmark.com/SpeedTest/200815/Samsung-SSD-960-PRO-1TB,520
SSD,CT1024M550SSD1,Crucial,M550 1TB,293,92.1,1375,https://ssd.userbenchmark.com/SpeedTest/7108/Crucial-CT1024M550SSD1,518
SSD,SSDPED1D280GASX,Intel,900P Optane 280GB,3,437,2293,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA,501
SSD,SSDPE21D280GASX,Intel,900P Optane 280GB,3,437,2293,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA,501
SSD,MZ-76E4T0B,Samsung,SSD 860 EVO 4TB,189,115,4312,https://ssd.userbenchmark.com/SpeedTest/440150/Samsung-SSD-860-EVO-4TB,491
SSD,,Toshiba,THNSN5512GPU7 512GB,134,158,10402,https://ssd.userbenchmark.com/SpeedTest/120558/NVMe-THNSN5512GPU7-NV,489
SSD,RVD350-FHPX28-960G,OCZ,REVODrive 350 PCIe 960GB,132,159,149,https://ssd.userbenchmark.com/SpeedTest/15245/OCZ-REVODRIVE350,475
SSD,CT960M500SSD1,Crucial,M500 960GB,448,81.5,3247,https://ssd.userbenchmark.com/SpeedTest/2379/Crucial-CT960M500SSD1,468
SSD,WDS200T1X0E,WD,Black SN850 2TB,1,479,134,https://ssd.userbenchmark.com/SpeedTest/1363185/WD-BLACK-SN850-2TB,458
SSD,ASP610SS3-512GM-C,Adata,Premier SP610 512GB,360,86.7,214,https://ssd.userbenchmark.com/SpeedTest/15096/ADATA-SP610,458
SSD,SSDSC2KW010X6,Intel,540s Series 1TB,459,80.8,1413,https://ssd.userbenchmark.com/SpeedTest/123180/INTEL-SSDSC2KW010X6,449
SSD,MZ-7TE750BW,Samsung,SSD 840 EVO 750GB,227,104,2828,https://ssd.userbenchmark.com/SpeedTest/2175/Samsung-SSD-840-EVO-750GB,447
SSD,SSDPED1D960GAX1,Intel,905P Optane 960GB,4,434,462,https://ssd.userbenchmark.com/SpeedTest/498903/INTEL-SSDPED1D960GAY,437
SSD,SDSSDXPS-960G-G25,SanDisk,Extreme PRO 960GB,258,96.5,2265,https://ssd.userbenchmark.com/SanDisk-Extreme-PRO-960GB/Rating/3581,437
SSD,CSSD-F2000GBMP600,Corsair,Force MP600 2TB,11,363,5248,https://ssd.userbenchmark.com/SpeedTest/841469/Force-MP600,433
SSD,MZ-75E2T0B,Samsung,SSD 850 EVO 2TB,196,112,6414,https://ssd.userbenchmark.com/SpeedTest/32539/Samsung-SSD-850-EVO-2TB,431
SSD,MZ-7PC512B/WW,Samsung,SSD 830 512GB,607,72.4,1497,https://ssd.userbenchmark.com/SpeedTest/1612/Samsung-SSD-830-Series,430
SSD,TS1TSSD370,Transcend,SSD370 1TB,358,86.9,207,https://ssd.userbenchmark.com/Transcend-SSD370-1TB/Rating/3579,429
SSD,MZ-7PD512BW,Samsung,SSD 840 PRO 512GB,253,96.9,12348,https://ssd.userbenchmark.com/SpeedTest/2708/Samsung-SSD-840-PRO-Series,426
SSD,SSDSC2BB240G4,Intel,S3500 Series 240GB,537,76,546,https://ssd.userbenchmark.com/SpeedTest/14275/INTEL-SSDSC2BB240G4,421
